objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
leighhuntimage,Leigh Hunt Hair Book Title Page ,J.H. Leigh Hunt,1784-1859,An image of the cover page of the Leigh Hunt Hair Book and Charles Lamb,leigh hunt;romanticism;hair;charles lamb,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/customizations/collection/p15878coll14/images/landingpage/LandingPage_Hair.jpg,,,,
johnmiltonpage, The portrait and hair of John Milton, J.H. Leigh Hunt,1784-1859, An image of John Milton accompanied by his lock of hair and a dedicated poem,john milton;hair;poetry,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/195/full/full/0/default.jpg,,,,
coverpage, The front cover of the Leigh Hunt Hair Book, J.H. Leigh Hunt,1784-1859,An image of the front cover of the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;cover page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/186/full/full/0/default.jpg,,,,
titlepage, The title page of the Leigh Hunt Hair Book, J.H. Leigh Hunt,1784-1859,An image of the title page of the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;title page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/187/full/full/0/default.jpg,,,,
titlepageverso, The verso page of the Leigh Hunt Hair Book, J.H. Leigh Hunt,1784-1859,An image of the verso page of the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;verso page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/188/full/full/0/default.jpg,,,,
listofportraits, The list of portraits of featured subjects in the Leigh Hunt Hair Book,J.H. Leigh Hunt,1784-1859,An image of the list of portraits page of the Leigh Hunt Hair Book,leigh hunt;list of portraits;john hoole;robert batty;john milton;jonathan swift;samuel johnson;george washington;richard henry lee;maria edgeworth;napoleon;william wordsworth;samuel taylor coleridge;charles lamb;william hazlitt;bryan waller procter;southwood smith;percy bysshe shelley;thomas carlyle;john keats;mary w. shelley;george payne rainsford james;richard henry horne;elizabeth barrett browning;robert browning,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/189/full/full/0/default.jpg,,,,
blankpage, A blank page of the Leigh Hunt Hair Book,J.H. Leigh Hunt,1784-1859,An image of a blank page in the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;blank page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/190/full/full/0/default.jpg,,,,
loosematerial1, A list of the locks of hair in the possession of Leigh Hunt as marked in his own handwriting,J.H. Leigh Hunt,1784-1859,Loose material listing the locks of hair in the possession of Leigh Hunt as marked in his own handwriting,leigh hunt;romanticism;loose material;john milton;jonathan swift;samuel johnson;napoleon;percy bysshe shelley;john keats;mary w. shelley;samuel taylor coleridge;charles lamb;william hazlitt;william wordsworth;Austin Texas,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/191/full/full/0/default.jpg,,,,
loosematerial2, A list of the locks of hair in the possession of Leigh Hunt as marked in his own handwriting page 2,J.H. Leigh Hunt,1784-1859,Loose material listing the locks of hair in the possession of Leigh Hunt as marked in his own handwriting,leigh hunt;romanticism;loose material;robert browning;ellizabeth barrett browning;bryan waller procter;maria edgeworth;southwood smith;richard henry horne;george payne rainsford james;thomas carlyle;george washington;richard henry lee,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/192/full/full/0/default.jpg,,,,
robertbattypage, The image of Robert Batty M.D.,J.H. Leigh Hunt,1784-1859,A hand drawn image of Robert Batty M.D.,robert batty;artist,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,hrc.contentdm.oclc.org/digital/iiif/p15878coll14/193/full/full/0/default.jpg,,,,
blankpage2, A blank page of the Leigh Hunt Hair Book,J.H. Leigh Hunt,1784-1859,An image of a blank page in the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;blank page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/194/full/full/0/default.jpg,,,,
johnmiltonback, The back page of the portrait and hair of John Milton,J.H. Leigh Hunt,1784-1859, The back page of the John Milton page in the Hair Book,john milton;hair;poetry,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/196/full/full/0/default.jpg,,,,
johnmiltonpage2, An alternate page of the portrait of John Milton,J.H. Leigh Hunt,1784-1859, An image of John Milton and poem dedicated by Leigh Hunt,john milton;poetry,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/197/full/full/0/default.jpg,,,,
